Optimizer is Adam
LR is 0.0001
Epoch & Fidelity & Runtime
1 0.115317 8.553491
2 0.160683 16.626067
3 0.19689 24.748862
4 0.224164 32.913756
5 0.248229 41.092663
6 0.271933 49.170159
7 0.29407 57.225523
8 0.316064 65.32282
9 0.335316 73.501216
10 0.355299 81.621009
11 0.37323 89.690601
12 0.391695 97.782048
13 0.41005 105.981687
14 0.42923 114.079375
15 0.448718 122.190427
16 0.466407 130.365739
17 0.483152 138.505559
18 0.496942 146.525944
19 0.511653 154.603427
20 0.5223 162.716482
21 0.533046 170.764195
22 0.541132 178.858543
23 0.549819 187.129634
24 0.556435 195.232273
25 0.563446 203.28826
26 0.568431 211.533764
27 0.57113 219.668758
28 0.577384 227.834912
29 0.583028 236.105724
30 0.587901 244.438402
31 0.592025 252.641101
32 0.596109 260.761806
33 0.600151 268.885046
34 0.60539 276.976772
35 0.610057 285.229905
36 0.61474 293.350538
37 0.618732 301.632941

Optimizer is NAG
LR is 0.001
Epoch & Fidelity & Runtime
1 0.408142 7.269709
2 0.52428 14.590294
3 0.582224 21.910178
4 0.626012 29.244406
5 0.677695 36.588169
6 0.698321 44.060541
7 0.734961 51.41465
8 0.747085 58.903403
9 0.770481 66.311086
10 0.762069 73.665279
11 0.791617 81.07938
12 0.797476 88.43008
13 0.80514 95.776955
14 0.799358 103.198701
15 0.820819 110.571527
16 0.816439 117.904722
17 0.814852 125.25447
18 0.826146 132.718453
19 0.821859 140.033508
20 0.811266 147.421686
21 0.838735 154.900194
22 0.844593 162.275251
23 0.837335 169.663798
24 0.844779 177.184204
25 0.838077 184.523116
26 0.84051 192.040614
27 0.828744 199.368259
28 0.847042 206.873338
29 0.840483 214.249723
30 0.837117 221.741184
31 0.85613 229.21143
32 0.844348 236.708095
33 0.858756 244.108042
34 0.864265 251.628058
35 0.857481 258.968763
36 0.861857 266.436907
37 0.864476 273.911092
38 0.859891 281.428284
39 0.858624 288.799873
40 0.826695 296.252111
41 0.857736 303.657041

Optimizer is SGD
LR is 0.01
Epoch & Fidelity & Runtime
1 0.427436 7.478691
2 0.546878 14.387884
3 0.579017 21.274672
4 0.620796 28.380169
5 0.650588 35.280244
6 0.67043 42.360506
7 0.700057 49.394082
8 0.725163 56.337987
9 0.746049 63.282958
10 0.760021 70.270896
11 0.770411 77.172751
12 0.775074 84.063103
13 0.78288 91.019683
14 0.776337 97.975828
15 0.797667 104.931893
16 0.793758 111.902405
17 0.792408 118.856316
18 0.812394 125.78446
19 0.792758 132.812711
20 0.803005 139.711229
21 0.826821 146.676784
22 0.820271 153.581488
23 0.816063 160.688755
24 0.825291 167.618558
25 0.827167 174.612954
26 0.824277 181.656413
27 0.833117 188.560897
28 0.833807 195.512794
29 0.833221 202.58515
30 0.833212 209.54568
31 0.82828 216.424298
32 0.823841 223.473127
33 0.8149 230.497181
34 0.833283 237.552087
35 0.840649 244.463718
36 0.846184 251.596749
37 0.850497 258.523599
38 0.847493 265.447673
39 0.849387 272.551502
40 0.83251 279.579204
41 0.841699 286.529039
42 0.853067 293.565387
43 0.855552 300.575441

Optimizer is SGDM
LR is 0.001
Epoch & Fidelity & Runtime
1 0.410008 7.229138
2 0.523126 14.566074
3 0.57169 21.806693
4 0.612523 29.130929
5 0.658665 36.480033
6 0.695127 43.792073
7 0.71769 51.085148
8 0.739766 58.392068
9 0.757365 65.690078
10 0.760577 73.026735
11 0.769723 80.417954
12 0.768253 87.757013
13 0.790815 95.162632
14 0.79394 102.544113
15 0.78959 109.909211
16 0.80158 117.254304
17 0.802942 124.641355
18 0.806451 132.00449
19 0.819257 139.286511
20 0.797961 146.652721
21 0.816081 153.928963
22 0.813619 161.389032
23 0.800273 168.802346
24 0.824789 176.287605
25 0.81861 183.575692
26 0.810909 190.956207
27 0.808226 198.418368
28 0.823633 205.901477
29 0.814298 213.311984
30 0.81644 220.738619
31 0.803021 228.202288
32 0.794708 235.675612
33 0.788734 243.097557
34 0.797988 250.446602
35 0.820817 257.795718
36 0.797162 265.300621
37 0.802272 272.718161
38 0.794616 282.105454
39 0.813789 289.430068
40 0.796409 296.838665
41 0.767446 304.11705

