Optimizer is Adam

LR is 1e-06
Epoch & Fidelity & Runtime 
1 0.049295 33.317852
2 0.051727 66.655131
3 0.053729 100.002007
4 0.055429 133.443915
5 0.056832 166.878627
6 0.057991 200.51488
7 0.058979 234.000497
8 0.059805 267.688381
9 0.06051 301.206796
10 0.061104 334.799884
11 0.061633 368.604971
12 0.062085 402.484882
13 0.062488 436.193844
14 0.062856 469.887393
15 0.063192 503.993877

LR is 1e-05
Epoch & Fidelity & Runtime 
1 0.063403 32.317504
2 0.068469 64.653221
3 0.072039 97.025761
4 0.07598 130.145487
5 0.080602 162.829217
6 0.085918 195.505253
7 0.09176 227.88759
8 0.097908 261.420932
9 0.104245 295.029613
10 0.110371 329.390278
11 0.116211 363.131152
12 0.121722 396.929193
13 0.126858 431.180031
14 0.131646 465.10152
15 0.136183 499.457459
16 0.140409 533.395114

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.09491 33.518438
2 0.146516 66.617254
3 0.18523 99.149251
4 0.218534 132.127795
5 0.24838 165.777455
6 0.276811 198.405696
7 0.30248 231.882675
8 0.326016 265.976537
9 0.347216 299.954562
10 0.365974 333.901135
11 0.384293 368.292943
12 0.399688 402.855036
13 0.414842 436.932295
14 0.428892 470.976969
15 0.442016 506.066992

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.362189 33.833209
2 0.501555 66.628996
3 0.588602 99.973364
4 0.6456 132.715363
5 0.698447 166.462669
6 0.729733 199.346165
7 0.740617 233.001045
8 0.746435 267.059217
9 0.788396 301.644541
10 0.731744 335.729672
11 0.831106 370.467736
12 0.728162 405.200746
13 0.775485 440.064063
14 0.688689 474.876008
15 0.643845 509.156998

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.309183 34.591294
2 0.57068 68.260479
3 0.2389 101.189894
4 0.266201 134.149347
5 0.093198 168.745479
6 0.023676 201.827797
7 0.082059 236.429897
8 0.078185 270.842124
9 0.051196 305.763744
10 0.028534 340.162915
11 0.05312 375.197121
12 0.049271 410.205763
13 0.020575 444.507866
14 0.009786 478.846711
15 0.010491 514.53306

