Optimizer is Adam

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.095789 32.747896
2 0.155572 65.537479
3 0.198161 98.414685
4 0.231061 131.239179
5 0.261062 164.214085
6 0.288646 197.148631
7 0.31357 230.444828
8 0.337261 263.49736
9 0.357595 296.570107
10 0.379061 329.908352
11 0.397655 363.040603
12 0.41547 396.449509
13 0.429701 429.677217
14 0.444095 463.167206
15 0.457321 496.4774
16 0.468316 530.079405

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.392259 31.840364
2 0.541721 63.753687
3 0.633385 95.977022
4 0.700707 128.713878
5 0.738555 160.890309
6 0.74794 193.071046
7 0.764968 225.506717
8 0.819417 258.563417
9 0.72361 291.958535
10 0.646079 325.343283
11 0.705724 358.772033
12 0.655341 392.543065
13 0.631498 426.386046
14 0.605207 460.582691
15 0.570511 494.272246
16 0.510859 528.313818

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.563474 32.897262
2 0.377191 65.724493
3 0.255234 97.946609
4 0.118049 130.064054
5 0.07505 163.07095
6 0.042818 196.2303
7 0.027236 228.728215
8 0.035049 262.254186
9 0.026582 295.713003
10 0.023161 329.261805
11 0.009364 362.768061
12 0.019291 396.647432
13 0.063217 430.225454
14 0.013469 463.834299
15 0.017783 497.469563
16 0.023785 531.865196

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.034798 33.298647
2 0.016967 65.641873
3 0.099602 98.710603
4 0.038296 131.005654
5 0.049698 163.261457
6 0.111336 196.357946
7 0.086445 228.780252
8 0.094145 263.084113
9 0.016669 296.716348
10 0.025988 330.378649
11 0.056865 364.069538
12 0.076941 398.600641
13 0.156886 432.32462
14 0.150527 466.076947
15 0.123361 500.170448

LR is 1
Epoch & Fidelity & Runtime 
1 0.053026 33.769006
2 0.051668 66.774248
3 0.045092 99.187598
4 0.038674 132.104237
5 0.047787 164.587144
6 0.04072 198.334781
7 0.04466 231.579851
8 0.034364 265.413954
9 0.025399 300.227797
10 0.030883 334.122073
11 0.047077 368.341868
12 0.045788 402.614675
13 0.039275 436.470123
14 0.047082 470.316204
15 0.047222 504.632278

