Optimizer is SGDM

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.135798 32.049734
2 0.20141 64.055331
3 0.260063 96.076622
4 0.307249 128.073838
5 0.345965 160.881957
6 0.376884 193.215827
7 0.402019 225.442677
8 0.427741 257.601292
9 0.445631 289.769108
10 0.464118 322.173952
11 0.474605 354.415876
12 0.492712 386.697466
13 0.502695 420.195717
14 0.512919 452.851092
15 0.522358 485.321239
16 0.531903 518.165403

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.434804 31.143456
2 0.547181 62.558363
3 0.617652 93.555063
4 0.677646 124.529554
5 0.719796 156.118771
6 0.768448 187.153192
7 0.78392 218.99635
8 0.793203 251.047615
9 0.819188 283.605043
10 0.807104 316.355197
11 0.831293 348.633805
12 0.822106 381.371885
13 0.834048 413.809661
14 0.832928 446.683998
15 0.860862 479.207911
16 0.849632 512.170069

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.712371 32.668157
2 0.721657 64.30265
3 0.716245 95.554877
4 0.675109 126.860361
5 0.787369 158.795868
6 0.676856 190.034214
7 0.620239 221.739068
8 0.767346 253.682044
9 0.701452 287.058455
10 0.666287 319.733865
11 0.770492 352.383587
12 0.69105 385.483923
13 0.757604 418.095631
14 0.743478 451.211123
15 0.705196 484.439957
16 0.760294 517.181527

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.125797 33.565726
2 0.349895 65.243701
3 0.319934 97.121237
4 0.27862 128.566845
5 0.230203 160.899884
6 0.286184 192.37486
7 0.142061 224.912961
8 0.223526 257.357619
9 0.286213 290.092028
10 0.170615 322.786266
11 0.162934 355.984103
12 0.132165 388.767145
13 0.150137 421.575114
14 0.311512 455.018251
15 0.394063 487.906312
16 0.068867 521.426836

LR is 1
Epoch & Fidelity & Runtime 
1 0.014834 32.721018
2 0.032904 64.432455
3 0.016833 96.921713
4 0.028736 128.541005
5 0.023969 160.132052
6 0.013989 191.693002
7 0.014461 224.218626
8 0.024996 257.050553
9 0.008965 289.697177
10 0.026856 322.626695
11 0.015368 355.503018
12 0.00936 388.965233
13 0.011371 422.545845
14 0.022814 455.448934
15 0.009259 488.4204
16 0.015012 521.347931

