Learning rate is 0.01

Optimizer is Adadelta
Epoch & Fidelity & Runtime 
1 0.086497 1.295779
2 0.087768 2.567898
3 0.088885 3.842741
4 0.089791 5.114647
5 0.090636 6.388464
6 0.091386 7.658001
7 0.092076 8.925945
8 0.092753 10.197636
9 0.093399 11.46777
10 0.09405 12.73709
11 0.094696 14.017306
12 0.095319 15.289313
13 0.095984 16.560282
14 0.096649 17.828088
15 0.097313 19.096675
16 0.098013 20.366679
17 0.098708 21.636543
18 0.099422 22.905141
19 0.100166 24.17471
20 0.100947 25.447913
21 0.101739 26.718174
22 0.102557 27.985596
23 0.103368 29.279865
24 0.104211 30.550685
25 0.105103 31.823194
26 0.105993 33.090807
27 0.10692 34.362203
28 0.107857 35.6328
29 0.108822 36.939096
30 0.109806 38.210202
31 0.110821 39.479847
32 0.11186 40.755135
33 0.112913 42.027351
34 0.11403 43.304621
35 0.115152 44.60741
36 0.116266 45.879237
37 0.117418 47.153282
38 0.118609 48.424478
39 0.119794 49.695761
40 0.12102 50.967212
41 0.122235 52.242357
42 0.123466 53.511769
43 0.124697 54.786885
44 0.125993 56.058348
45 0.127258 57.333176
46 0.128558 58.640951
47 0.129839 59.913948
48 0.131175 61.184362
49 0.132508 62.461934
50 0.133796 63.732447
51 0.13515 65.003118
52 0.136461 66.274217
53 0.137814 67.552506
54 0.13919 68.824406
55 0.140541 70.096838
56 0.141892 71.368167
57 0.143223 72.645589
58 0.144567 73.95812
59 0.145926 75.228782
60 0.147219 76.50098
61 0.14855 77.774382
62 0.149837 79.047817
63 0.151141 80.319882
64 0.152474 81.592068
65 0.153736 82.860737
66 0.155016 84.132737
67 0.156215 85.403964
68 0.157453 86.682309
69 0.158708 87.954388
70 0.159917 89.274308
71 0.16114 90.543625
72 0.162321 91.817767
73 0.163469 93.086663
74 0.164659 94.357296
75 0.16584 95.626885
76 0.166959 96.900182
77 0.168104 98.167739
78 0.169228 99.437772
79 0.170334 100.707604
80 0.171404 101.976617
81 0.172507 103.246114
82 0.173623 104.569754
83 0.174764 105.840879
84 0.175864 107.11418
85 0.176953 108.384953
86 0.178028 109.654903
87 0.179161 110.926816
88 0.18022 112.198193
89 0.181286 113.467753
90 0.182349 114.743396
91 0.183337 116.014898
92 0.18428 117.287844
93 0.185294 118.616868
94 0.186335 119.891054
95 0.187353 121.159066
96 0.188306 122.465109
97 0.189303 123.734238
98 0.190282 125.007542
99 0.191254 126.280015
100 0.192295 127.550171
101 0.193293 128.822661
102 0.194266 130.096772
103 0.195217 131.36648
104 0.196183 132.642397
105 0.197057 133.978055
106 0.197992 135.25183
107 0.199 136.524775
108 0.199956 137.796265
109 0.200951 139.07109
110 0.201881 140.343637
111 0.202804 141.613282
112 0.203648 142.890123
113 0.204541 144.162177
114 0.205486 145.434803
115 0.206413 146.705266
116 0.20734 147.980818
117 0.208253 149.318633
118 0.20919 150.590044
119 0.21012 151.863409
120 0.210975 153.137572
121 0.211838 154.408571
122 0.212677 155.679487
123 0.21356 156.953086
124 0.214453 158.224032
125 0.215329 159.498701
126 0.21621 160.769895
127 0.217052 162.044065
128 0.217921 163.316645
129 0.218775 164.657772
130 0.219603 165.92994
131 0.220387 167.202016
132 0.221221 168.478152
133 0.222034 169.750628
134 0.22289 171.024036
135 0.22369 172.298825
136 0.224504 173.567531
137 0.225291 174.844163
138 0.226122 176.117562
139 0.226997 177.46556
140 0.227801 178.810566
141 0.228601 180.08469
142 0.229349 181.355697
143 0.230121 182.630621
144 0.230862 183.901731
145 0.231687 185.178578
146 0.23244 186.450122
147 0.233203 187.725466
148 0.233986 188.996757
149 0.234749 190.270745
150 0.235517 191.543308
151 0.23626 192.81785
152 0.236967 194.168014
153 0.2377 195.438692
154 0.238436 196.715389
155 0.239186 197.98778
156 0.239884 199.262099
157 0.240618 200.537564
158 0.241407 201.893692
159 0.2421 203.167759
160 0.242851 204.442096
161 0.243547 205.717386
162 0.244265 207.015756
163 0.244988 208.292462
164 0.245759 209.646861
165 0.246467 210.917145
166 0.247265 212.191665
167 0.24802 213.464497
168 0.248756 214.736607
169 0.249473 216.010131
170 0.250133 217.281682
171 0.250817 218.555846
172 0.251438 219.830106
173 0.252107 221.102957
174 0.252844 222.376703
175 0.253553 223.73441
176 0.254304 225.004893
177 0.255001 226.278749
178 0.255692 227.552599
179 0.256375 228.824826
180 0.257059 230.095537
181 0.257751 231.371862
182 0.258423 232.645982
183 0.259083 233.916099
184 0.259772 235.189153
185 0.26047 236.464203
186 0.261104 237.73352
187 0.261786 239.096537
188 0.262405 240.366845
189 0.263065 241.639356
190 0.263823 242.909047
191 0.26449 244.180084
192 0.265203 245.452282
193 0.265774 246.724747
194 0.266483 247.993495
195 0.267191 249.267626
196 0.267874 250.538109
197 0.268505 251.808468
198 0.269181 253.07744
199 0.269848 254.452197
200 0.270507 255.725994
201 0.271127 256.997717
202 0.271736 258.268172
203 0.272419 259.542039
204 0.273085 260.812753
205 0.273793 262.086051
206 0.274466 263.356616
207 0.275071 264.630966
208 0.275705 265.90112
209 0.276339 267.172398
210 0.277072 268.544116
211 0.277685 269.817062
212 0.278343 271.088148
213 0.278924 272.361045
214 0.279535 273.632063
215 0.280179 274.905328
216 0.280834 276.175529
217 0.281544 277.447048
218 0.282205 278.72165
219 0.282856 279.9925
220 0.283528 281.262726
221 0.284242 282.536393
222 0.284895 283.915504
223 0.285611 285.18939
224 0.286259 286.462708
225 0.286922 287.737226
226 0.287624 289.010286
227 0.288306 290.282248
228 0.288977 291.553659
229 0.289633 292.8596
230 0.290289 294.131484
231 0.290952 295.403017
232 0.291565 296.679016
233 0.292167 297.955384
234 0.292837 299.341265
235 0.293501 300.616693

Optimizer is Adam
Epoch & Fidelity & Runtime 
1 0.333411 1.257638
2 0.44966 2.470208
3 0.552548 3.791393
4 0.581379 5.000813
5 0.636865 6.212172
6 0.661673 7.419968
7 0.620526 8.628345
8 0.667577 9.837548
9 0.726708 11.04798
10 0.702116 12.256045
11 0.64007 13.482479
12 0.699691 14.726909
13 0.597929 15.96927
14 0.711565 17.18391
15 0.642184 18.504069
16 0.61296 19.712859
17 0.56901 20.923158
18 0.54513 22.130956
19 0.468121 23.336237
20 0.584802 24.547352
21 0.492885 25.755157
22 0.636876 26.960642
23 0.662935 28.166455
24 0.658012 29.373952
25 0.660145 30.581801
26 0.692947 31.788531
27 0.499827 32.994449
28 0.61482 34.306876
29 0.456359 35.515678
30 0.548912 36.726003
31 0.288715 37.956062
32 0.308058 39.198755
33 0.38289 40.442948
34 0.440153 41.687456
35 0.288573 42.9268
36 0.245826 44.151342
37 0.4681 45.392068
38 0.467441 46.633757
39 0.297201 47.875547
40 0.30272 49.228267
41 0.44868 50.470769
42 0.459533 51.713113
43 0.475889 52.956729
44 0.521972 54.198436
45 0.443595 55.440037
46 0.177946 56.68164
47 0.465668 57.923542
48 0.603812 59.138356
49 0.397971 60.346794
50 0.576432 61.592461
51 0.497762 62.869569
52 0.513683 64.227961
53 0.39944 65.473859
54 0.234041 66.721791
55 0.079534 67.967851
56 0.366972 69.212889
57 0.260014 70.459953
58 0.285504 71.81916
59 0.285521 73.065399
60 0.29716 74.308446
61 0.245954 75.553397
62 0.206041 76.799547
63 0.227631 78.083478
64 0.211237 79.397505
65 0.23244 80.640961
66 0.230494 81.881336
67 0.277649 83.120947
68 0.231814 84.364381
69 0.184994 85.606065
70 0.175069 86.850138
71 0.135814 88.096163
72 0.151259 89.337587
73 0.141999 90.579382
74 0.1363 91.82213
75 0.117474 93.10662
76 0.084441 94.41495
77 0.146449 95.654978
78 0.076823 96.89857
79 0.104449 98.141215
80 0.134216 99.380912
81 0.117048 100.618034
82 0.105073 101.859891
83 0.098739 103.101933
84 0.074219 104.344582
85 0.092955 105.585842
86 0.115938 106.828757
87 0.094341 108.123073
88 0.106072 109.422215
89 0.106711 110.662905
90 0.114898 111.905607
91 0.084021 113.146842
92 0.078559 114.390191
93 0.091927 115.631808
94 0.078437 116.874522
95 0.08405 118.117614
96 0.090488 119.359334
97 0.100467 120.599319
