Optimizer is NAG

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.128844 7.330804
2 0.195186 14.688434
3 0.228547 22.031062
4 0.259484 29.539824
5 0.292597 36.927404
6 0.323627 44.325711
7 0.349899 51.67901
8 0.371319 59.191618
9 0.39119 66.67737
10 0.409502 74.06908
11 0.427874 81.572979
12 0.448274 88.934604
13 0.466263 96.341483
14 0.482032 103.871236
15 0.496918 111.342941
16 0.508747 118.720267
17 0.518371 126.141013
18 0.527196 133.562882
19 0.533782 141.047673
20 0.540932 148.55085
21 0.546293 155.97329
22 0.550535 163.322152
23 0.555209 170.720213
24 0.558201 178.209741
25 0.562166 185.556911
26 0.566319 192.88521
27 0.570171 200.356246
28 0.573217 207.835749
29 0.57635 215.165484
30 0.580477 222.514884
31 0.583176 229.967003
32 0.586107 237.396203
33 0.590173 244.768828
34 0.593334 252.222997
35 0.598131 259.610138
36 0.603299 267.113137
37 0.607914 274.600125
38 0.611391 281.974618
39 0.61627 289.437654
40 0.620762 296.775548
41 0.625752 304.244475

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.470764 7.30603
2 0.565031 14.660428
3 0.602761 22.078275
4 0.65302 29.430703
5 0.687985 36.812856
6 0.718388 44.291385
7 0.751014 51.673885
8 0.761137 59.145184
9 0.774972 66.605017
10 0.78514 73.962276
11 0.797735 81.386595
12 0.792734 88.77734
13 0.804399 96.163834
14 0.814045 103.61778
15 0.821313 111.007277
16 0.829566 118.391756
17 0.830116 125.801496
18 0.835555 133.326658
19 0.836284 140.734143
20 0.835693 148.140627
21 0.852272 155.671699
22 0.852003 163.085333
23 0.851402 170.484293
24 0.850182 178.036885
25 0.848043 185.405961
26 0.843954 192.95201
27 0.857553 200.325849
28 0.863782 207.847554
29 0.854045 215.25656
30 0.857592 222.722759
31 0.860835 230.195443
32 0.857713 237.710892
33 0.82148 245.1227
34 0.850217 252.65748
35 0.860353 260.021919
36 0.864825 267.43022
37 0.839256 274.869981
38 0.845391 282.36745
39 0.8657 289.739954
40 0.870547 297.160149
41 0.877422 304.563255

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.605982 7.84179
2 0.772734 15.188204
3 0.76173 22.586568
4 0.822187 30.084964
5 0.818977 37.483195
6 0.733155 44.799464
7 0.834872 52.207047
8 0.76913 59.586235
9 0.781566 66.954107
10 0.819056 74.338597
11 0.833567 81.809761
12 0.840101 89.149946
13 0.666133 96.563701
14 0.791034 104.078921
15 0.852737 111.572185
16 0.786742 118.949085
17 0.813424 126.350877
18 0.724494 133.754079
19 0.715734 141.125487
20 0.776101 148.469059
21 0.777827 155.847358
22 0.855106 163.306293
23 0.793117 170.691342
24 0.814066 178.081478
25 0.784267 185.522036
26 0.754946 192.905325
27 0.808498 200.259763
28 0.804797 207.594342
29 0.78123 215.046585
30 0.787712 222.48192
31 0.797488 229.948125
32 0.779871 237.44836
33 0.774268 245.004671
34 0.770231 252.535486
35 0.667162 260.062248
36 0.802587 267.513274
37 0.672657 275.031165
38 0.622348 282.468898
39 0.765447 290.001268
40 0.750008 297.423603
41 0.728533 304.936055

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.458653 7.690543
2 0.387879 15.095792
3 0.315033 22.481762
4 0.49649 29.931527
5 0.36056 37.349046
6 0.348873 44.903459
7 0.422446 52.300382
8 0.167047 59.724622
9 0.2533 67.134372
10 0.046772 74.628664
11 0.001297 82.009326
12 0.389685 89.559148
13 0.143702 96.978374
14 0.144831 104.446448
15 0.019917 111.85776
16 0.101658 119.330668
17 0.031312 126.805982
18 0.00402 134.295138
19 0.004802 141.730079
20 0.002384 149.256823
21 0.000158 156.823213
22 2.7e-05 164.343672
23 3.1e-05 171.807507
24 0.000139 179.393735
25 5.8e-05 186.78776
26 0.000167 194.196669
27 9e-06 201.590391
28 1e-06 209.02297
29 0.0 216.3989
30 1e-06 223.903491
31 0.0 231.427806
32 1e-06 238.999958
33 0.0 246.434261
34 0.0 254.068295
35 1e-06 261.505996
36 0.0 269.047233
37 0.0 276.610914
38 1e-06 284.185955
39 2e-06 291.629836
40 1e-06 299.141102
41 1e-06 306.661569

LR is 1
Epoch & Fidelity & Runtime 
1 0.058219 7.420291
2 0.073663 14.857971
3 0.047491 22.339306
4 0.060025 29.777061
5 0.037486 37.252304
6 0.057972 44.699538
7 0.057805 52.191234
8 0.067728 59.745046
9 0.061083 67.152127
10 0.072278 74.641921
11 0.051026 82.077958
12 0.040793 89.57695
13 0.04743 97.017713
14 0.061602 104.501294
15 0.054966 111.872946
16 0.05555 119.342607
17 0.055157 126.764791
18 0.0559 134.304978
19 0.033631 141.758138
20 0.053856 149.350863
21 0.067975 156.89517
22 0.07126 164.499165
23 0.066018 171.990689
24 0.06939 179.492662
25 0.028415 186.889396
26 0.054327 194.46057
27 0.048048 202.041968
28 0.073119 209.564544
29 0.05339 216.987082
30 0.052582 224.508738
31 0.05413 231.933647
32 0.035078 239.44355
33 0.06396 246.814424
34 0.051264 254.366115
35 0.056668 261.788637
36 0.061551 269.177178
37 0.061935 276.618806
38 0.045854 284.007107
39 0.069493 291.471559
40 0.048216 298.855819
41 0.052277 306.446301

