Optimizer is NAG

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.134867 32.383258
2 0.200666 64.595828
3 0.246674 96.883653
4 0.287344 129.187128
5 0.323229 161.493047
6 0.354938 193.937565
7 0.381434 226.287621
8 0.405489 258.828615
9 0.426076 291.237586
10 0.441893 323.737414
11 0.456137 356.253124
12 0.469916 389.139875
13 0.483109 421.662585
14 0.489002 454.223025
15 0.501247 486.995435
16 0.509578 519.690613

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.412913 31.437979
2 0.516212 62.974016
3 0.589049 95.135317
4 0.651266 126.730164
5 0.697564 158.840982
6 0.726861 190.618834
7 0.728767 222.229743
8 0.744166 253.838032
9 0.768029 286.539605
10 0.781953 319.578186
11 0.803548 352.267369
12 0.798012 384.969333
13 0.801575 417.978264
14 0.8195 451.029262
15 0.826235 483.848458
16 0.837769 516.66164

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.500897 32.53382
2 0.681816 64.483202
3 0.747 96.113058
4 0.581112 127.749101
5 0.762533 159.733708
6 0.736584 191.805723
7 0.781146 224.646779
8 0.792264 256.627697
9 0.738748 289.912342
10 0.492832 322.722377
11 0.527554 355.559601
12 0.751087 388.761377
13 0.718375 421.970002
14 0.7696 454.963985
15 0.723715 487.998309
16 0.496971 521.315179

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.16269 32.925375
2 0.23152 64.917675
3 0.158512 96.928964
4 0.252561 129.371969
5 0.183321 161.862851
6 0.273236 194.92432
7 0.154711 228.093428
8 0.172801 260.429996
9 0.104083 293.856155
10 0.366079 327.245529
11 0.133127 360.258739
12 0.258767 393.2705
13 0.090816 426.819007
14 0.174354 460.38537
15 0.215253 493.634332
16 0.095921 526.737954

LR is 1
Epoch & Fidelity & Runtime 
1 0.021343 33.279591
2 0.036013 65.427277
3 0.032004 97.334863
4 0.024239 129.256986
5 0.021729 161.200467
6 0.037415 194.226911
7 0.036931 226.83372
8 0.027538 259.833092
9 0.007919 293.380859
10 0.01586 326.501855
11 0.025272 360.116655
12 0.017726 393.745751
13 0.034715 427.019275
14 0.018419 460.257678
15 0.033483 493.978674
16 0.033031 527.759674

