Optimizer is SGD

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.089575 7.113232
2 0.092749 14.344248
3 0.095474 21.472352
4 0.098754 28.50583
5 0.10291 35.601896
6 0.108166 42.785006
7 0.114736 49.979967
8 0.122518 57.214076
9 0.13122 64.376839
10 0.140406 71.56356
11 0.149449 78.746972
12 0.158168 85.807881
13 0.166258 92.966541
14 0.173615 100.148445
15 0.180291 107.276913
16 0.186451 114.401104
17 0.192462 121.561566
18 0.198159 128.706461
19 0.203734 135.919319
20 0.209107 143.069748
21 0.214319 150.231449
22 0.219336 157.457627
23 0.224179 164.646942
24 0.228866 171.756098
25 0.233215 178.960752
26 0.237475 186.109823
27 0.241744 193.332542
28 0.245982 200.540799
29 0.250008 207.653094
30 0.254033 214.783196
31 0.258174 221.983589
32 0.261977 229.073517
33 0.265784 236.323897
34 0.269411 243.411597
35 0.273353 250.580793
36 0.27708 257.716846
37 0.280823 264.811062
38 0.284483 272.038228
39 0.288098 279.118608
40 0.291636 286.259938
41 0.295054 293.431504
42 0.298589 300.5961

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.13536 7.003439
2 0.191841 14.1255
3 0.231104 21.171061
4 0.267548 28.335903
5 0.30155 35.370763
6 0.33456 42.572519
7 0.364914 49.689722
8 0.390726 56.850005
9 0.415779 63.935083
10 0.434639 71.084901
11 0.453012 78.136342
12 0.46948 85.307507
13 0.4825 92.462228
14 0.495409 99.583235
15 0.504116 106.713645
16 0.513226 113.865998
17 0.518807 121.032624
18 0.528598 128.165113
19 0.535509 135.40645
20 0.539846 142.661806
21 0.546963 149.758524
22 0.549544 156.885067
23 0.55486 164.062458
24 0.559171 171.291866
25 0.562496 178.521132
26 0.566417 185.642154
27 0.570864 193.021421
28 0.57317 200.241339
29 0.574662 207.553236
30 0.578465 214.703919
31 0.58211 221.959834
32 0.583938 229.070532
33 0.588366 236.324574
34 0.59281 243.510473
35 0.595884 250.599402
36 0.59969 257.696638
37 0.603293 264.993102
38 0.603583 272.157333
39 0.610649 279.345832
40 0.612812 286.598214
41 0.618016 293.754737
42 0.621346 300.886847

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.457627 7.660376
2 0.555835 14.700529
3 0.585603 21.96115
4 0.630103 29.143641
5 0.677044 36.192838
6 0.712134 43.291265
7 0.735511 50.390649
8 0.754259 57.512739
9 0.761895 64.645975
10 0.784849 71.858411
11 0.786801 79.015115
12 0.781816 86.195665
13 0.806273 93.532078
14 0.80984 100.709384
15 0.809706 107.836722
16 0.81799 114.942525
17 0.827879 122.098502
18 0.825546 129.346092
19 0.833241 136.463404
20 0.828117 143.632758
21 0.837683 150.771719
22 0.8415 157.929855
23 0.837631 165.05969
24 0.838731 172.28133
25 0.847376 179.474041
26 0.854837 186.697754
27 0.860174 193.790497
28 0.855528 201.040934
29 0.857221 208.227287
30 0.857108 215.419579
31 0.862797 222.66054
32 0.860709 229.800516
33 0.858782 237.100972
34 0.856124 244.21481
35 0.869577 251.476685
36 0.870156 258.646034
37 0.853928 265.907571
38 0.868345 273.118358
39 0.87652 280.396229
40 0.872937 287.535784
41 0.865796 294.753308
42 0.873873 301.958765

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.709856 7.181309
2 0.74657 14.194366
3 0.774651 21.355563
4 0.803535 28.474161
5 0.805785 35.621022
6 0.815668 42.717057
7 0.653256 49.864047
8 0.748209 57.066249
9 0.704566 64.175319
10 0.828889 71.274772
11 0.71131 78.458189
12 0.735843 85.568191
13 0.666226 92.707224
14 0.69433 99.778609
15 0.785416 106.856697
16 0.780198 114.149726
17 0.778494 121.256973
18 0.780108 128.4397
19 0.759055 135.601702
20 0.804614 142.775659
21 0.874093 149.831743
22 0.77125 156.996409
23 0.805357 164.190228
24 0.826227 171.456037
25 0.752405 178.578789
26 0.721343 185.882718
27 0.847279 193.034387
28 0.711689 200.169368
29 0.826546 207.271114
30 0.73802 214.399947
31 0.696 221.510004
32 0.689913 228.714121
33 0.661404 235.904341
34 0.729156 243.143817
35 0.738305 250.270946
36 0.751706 257.526738
37 0.688019 264.667016
38 0.781852 271.72515
39 0.779294 278.860506
40 0.739965 285.997664
41 0.766459 293.253523
42 0.705154 300.475791

LR is 1
Epoch & Fidelity & Runtime 
1 0.164367 7.094475
2 0.525016 14.124466
3 0.177568 21.345257
4 0.517415 28.550774
5 0.472926 35.661928
6 0.478041 42.846072
7 0.485503 50.057167
8 0.438597 57.21034
9 0.452589 64.501481
10 0.368742 71.639398
11 0.358064 78.825196
12 0.37828 86.068012
13 0.383235 93.275872
14 0.205777 100.349021
15 0.382447 107.506402
16 0.555584 114.592653
17 0.344375 121.728894
18 0.327298 128.785483
19 0.134577 135.925676
20 0.279893 143.116931
21 0.492358 150.263562
22 0.447825 157.352135
23 0.460042 164.618725
24 0.459604 171.853933
25 0.377042 178.971138
26 0.341976 186.237487
27 0.28392 193.418975
28 0.604728 200.547817
29 0.136938 207.617351
30 0.219826 214.85543
31 0.436911 222.076525
32 0.257894 229.439018
33 0.431033 236.525646
34 0.475752 243.758799
35 0.272669 250.871427
36 0.291808 258.019336
37 0.305885 265.221493
38 0.478191 272.450932
39 0.266788 279.671318
40 0.390511 286.918206
41 0.349406 294.029735
42 0.270917 301.328907

