Learning rate is 0.001

Optimizer is Adadelta
Epoch & Fidelity & Runtime 
1 0.068165 1.251226
2 0.068759 2.487891
3 0.069345 3.722371
4 0.069895 4.955611
5 0.070446 6.18746
6 0.07098 7.423681
7 0.071495 8.655715
8 0.071987 9.887332
9 0.072476 11.117206
10 0.072951 12.349738
11 0.0734 13.595059
12 0.073844 14.828434
13 0.074256 16.062553
14 0.074694 17.298168
15 0.075111 18.53175
16 0.075505 19.76189
17 0.07589 20.998995
18 0.076261 22.232007
19 0.07662 23.483555
20 0.07698 24.715191
21 0.077326 25.94657
22 0.077659 27.181746
23 0.077977 28.430645
24 0.078283 29.660208
25 0.078591 30.889506
26 0.078875 32.128886
27 0.079157 33.359868
28 0.079431 34.591753
29 0.079699 35.853134
30 0.079959 37.091771
31 0.080206 38.330841
32 0.080452 39.56608
33 0.080678 40.798917
34 0.080905 42.034017
35 0.081132 43.293853
36 0.081348 44.533644
37 0.081552 45.768246
38 0.081755 47.001924
39 0.08195 48.238846
40 0.082139 49.472278
41 0.082328 50.711152
42 0.082509 51.946663
43 0.082679 53.185956
44 0.082851 54.424345
45 0.08302 55.663724
46 0.083186 56.898398
47 0.083336 58.160116
48 0.083495 59.399701
49 0.083649 60.634461
50 0.083789 61.873592
51 0.08393 63.110625
52 0.084068 64.345305
53 0.084199 65.583245
54 0.084333 66.819564
55 0.084462 68.056778
56 0.08458 69.291216
57 0.084701 70.527437
58 0.084821 71.762036
59 0.084937 73.001213
60 0.085058 74.274796
61 0.08516 75.511024
62 0.085265 76.74771
63 0.08537 77.983176
64 0.085473 79.220447
65 0.08557 80.451904
66 0.085667 81.690052
67 0.085766 82.922542
68 0.085863 84.157599
69 0.085958 85.397945
70 0.086048 86.634478
71 0.086142 87.871463
72 0.086233 89.152931
73 0.08632 90.393403
74 0.086407 91.631492
75 0.086493 92.867253
76 0.086572 94.103181
77 0.086654 95.338162
78 0.086736 96.580459
79 0.086811 97.813994
80 0.086886 99.049571
81 0.086958 100.285611
82 0.087032 101.52197
83 0.087108 102.758424
84 0.087184 104.042047
85 0.087261 105.27845
86 0.08733 106.516515
87 0.087404 107.752716
88 0.087473 108.989907
89 0.087542 110.223994
90 0.087614 111.460771
91 0.087685 112.698572
92 0.087752 113.935435
93 0.087821 115.174178
94 0.087887 116.408146
95 0.087956 117.65818
96 0.088026 118.951163
97 0.088091 120.190209
98 0.088157 121.424967
99 0.088221 122.661779
100 0.08828 123.895072
101 0.088346 125.128935
102 0.088408 126.36574
103 0.088469 127.599041
104 0.088531 128.832077
105 0.088594 130.066793
106 0.088653 131.299162
107 0.088713 132.537966
108 0.088772 133.838247
109 0.088829 135.071806
