Learning rate is 0.01

Optimizer is Adadelta
Epoch & Fidelity & Runtime 
1 0.075427 1.26013
2 0.080817 2.496014
3 0.084702 3.733836
4 0.087684 4.96991
5 0.0899 6.201372
6 0.091612 7.436435
7 0.092925 8.666267
8 0.093946 9.902672
9 0.094848 11.137556
10 0.095623 12.371225
11 0.096371 13.616225
12 0.097087 14.850463
13 0.097776 16.084754
14 0.09844 17.31907
15 0.099128 18.552967
16 0.09982 19.786354
17 0.100527 21.021676
18 0.101251 22.256433
19 0.102 23.488952
20 0.102782 24.723593
21 0.103584 25.958464
22 0.104404 27.19387
23 0.105244 28.443312
24 0.106121 29.677118
25 0.107016 30.913465
26 0.107926 32.150432
27 0.108881 33.381155
28 0.109858 34.614759
29 0.110839 35.876624
30 0.111852 37.112751
31 0.112908 38.349904
32 0.114001 39.588297
33 0.115106 40.830915
34 0.116252 42.068701
35 0.117417 43.326681
36 0.118593 44.564788
37 0.119809 45.801485
38 0.121029 47.038719
39 0.122266 48.270831
40 0.123551 49.505876
41 0.124817 50.748375
42 0.126116 51.987386
43 0.12745 53.221775
44 0.128781 54.45832
45 0.130112 55.69008
46 0.131444 56.931256
47 0.132835 58.195248
48 0.134171 59.432163
49 0.13554 60.669153
50 0.13695 61.909099
51 0.138302 63.143466
52 0.139653 64.381395
53 0.141035 65.616469
54 0.142431 66.854366
55 0.143811 68.089237
56 0.145188 69.330836
57 0.146541 70.565851
58 0.147838 71.803277
59 0.149218 73.042202
60 0.150506 74.312742
61 0.15185 75.546448
62 0.153166 76.782861
63 0.154471 78.02352
64 0.155773 79.261992
65 0.157009 80.497005
66 0.158278 81.732149
67 0.159521 82.968939
68 0.160721 84.206738
69 0.161926 85.438621
70 0.163165 86.680495
71 0.164341 87.922477
72 0.165481 89.207115
73 0.166588 90.44335
74 0.167797 91.675761
75 0.168942 92.908764
76 0.169988 94.187017
77 0.171091 95.427293
78 0.172189 96.664363
79 0.173239 97.897355
80 0.174261 99.131748
81 0.175364 100.371095
82 0.176452 101.6038
83 0.177473 102.839541
84 0.178472 104.12255
85 0.179422 105.355691
86 0.180363 106.587398
87 0.181298 107.820412
88 0.182294 109.056216
89 0.183238 110.294657
90 0.184205 111.527885
91 0.18509 112.763453
92 0.186056 113.995867
93 0.187004 115.235519
94 0.187927 116.47067
95 0.18888 117.730703
96 0.189771 119.026348
97 0.19065 120.265955
98 0.191491 121.505116
99 0.192385 122.74057
100 0.193266 123.976906
101 0.19413 125.21395
102 0.195073 126.450632
103 0.195871 127.686037
104 0.19668 128.923412
105 0.197493 130.162382
106 0.198372 131.400682
107 0.199222 132.643118
108 0.199983 133.941062
109 0.200782 135.178998
110 0.201566 136.418072
111 0.20231 137.656844
112 0.203129 138.892756
113 0.20389 140.135324
114 0.204668 141.372581
115 0.205429 142.611903
116 0.206119 143.850115
117 0.206917 145.088216
118 0.207737 146.323403
119 0.208529 147.562388
120 0.209181 148.865604
121 0.21 150.099978
122 0.210763 151.33681
123 0.211477 152.641976
124 0.212241 153.883358
125 0.21295 155.117197
126 0.213619 156.351162
127 0.21434 157.595105
128 0.215086 158.832376
129 0.215825 160.07112
130 0.216562 161.311111
131 0.217305 162.552823
132 0.218067 163.862048
133 0.21876 165.100453
134 0.219421 166.337373
135 0.220054 167.576357
136 0.220671 168.81121
137 0.221367 170.043724
138 0.222136 171.282223
139 0.222951 172.519453
140 0.223625 173.753823
141 0.224398 174.989778
142 0.225084 176.228495
143 0.225708 177.464797
144 0.226444 178.780793
145 0.227096 180.022651
146 0.227798 181.261085
147 0.228482 182.496369
148 0.229159 183.735836
149 0.229881 184.975379
150 0.23061 186.211144
151 0.231282 187.450109
152 0.23185 188.684386
153 0.232574 189.921889
154 0.233242 191.161495
155 0.233797 192.401056
156 0.234441 193.722086
157 0.235076 194.961604
158 0.235764 196.197834
159 0.236495 197.437069
160 0.237132 198.679136
161 0.23781 199.917142
162 0.238446 201.168376
163 0.239061 202.40475
164 0.239698 203.638652
165 0.240318 204.87873
166 0.240951 206.110657
167 0.241599 207.349453
168 0.242167 208.675695
169 0.242766 209.908135
170 0.243412 211.144683
171 0.244072 212.382089
172 0.244658 213.614832
173 0.245351 214.853672
174 0.245957 216.090909
175 0.2466 217.327118
176 0.247305 218.563307
177 0.24794 219.800962
178 0.248511 221.031953
179 0.249127 222.267616
180 0.249744 223.598468
181 0.250434 224.835045
182 0.251062 226.069876
183 0.251766 227.307298
184 0.252379 228.538497
185 0.253011 229.773801
186 0.25366 231.007783
187 0.25429 232.243152
188 0.254948 233.480193
189 0.255506 234.718001
190 0.256205 235.954106
191 0.256776 237.193266
192 0.25738 238.530808
193 0.258008 239.767143
194 0.258652 241.004189
195 0.259321 242.241682
196 0.259886 243.477266
