Optimizer is SGD

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.09015 6.798119
2 0.093866 13.693003
3 0.09721 20.504382
4 0.101222 27.485812
5 0.106127 34.341246
6 0.111921 41.154927
7 0.118367 47.989981
8 0.125228 54.901859
9 0.13212 61.759205
10 0.13894 68.674459
11 0.145392 75.491721
12 0.151153 82.311744
13 0.156739 89.234003
14 0.161851 96.184215
15 0.166728 103.095317
16 0.171453 110.03648
17 0.176107 116.873035
18 0.180754 123.719524
19 0.185451 130.500229
20 0.190164 137.36874
21 0.19509 144.2762
22 0.199903 151.205834
23 0.20484 158.140184
24 0.209817 165.0929
25 0.21458 171.935636
26 0.21933 178.829151
27 0.223754 185.725706
28 0.228123 192.591266
29 0.23242 199.390023
30 0.2366 206.354764
31 0.240566 213.301872
32 0.244513 220.221776
33 0.248193 227.188293
34 0.251915 234.032157
35 0.25551 240.911337
36 0.259007 247.786251
37 0.262584 254.653733
38 0.265855 261.500337
39 0.269451 268.352688
40 0.272753 275.161523
41 0.27597 281.947692
42 0.279199 288.800544
43 0.282505 295.736302
44 0.2856 302.709978

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.142632 6.770179
2 0.204044 13.57075
3 0.243992 20.367827
4 0.277807 27.218566
5 0.307867 34.040852
6 0.334296 40.896934
7 0.357635 47.803549
8 0.377108 54.659384
9 0.394078 61.457086
10 0.409651 68.36386
11 0.422892 75.175007
12 0.437273 82.007797
13 0.448482 88.906122
14 0.459161 95.760612
15 0.469359 102.587638
16 0.477872 109.398716
17 0.487132 116.306462
18 0.494429 123.085175
19 0.500655 130.051877
20 0.508007 137.006472
21 0.512497 143.905372
22 0.517786 150.740319
23 0.523329 157.67692
24 0.528148 164.561112
25 0.531639 171.381231
26 0.535625 178.24369
27 0.537996 185.073972
28 0.541675 192.013467
29 0.543425 198.864007
30 0.547752 205.848847
31 0.550488 212.788244
32 0.553095 219.788153
33 0.556185 226.669356
34 0.557676 233.629082
35 0.561265 240.574016
36 0.564247 247.554824
37 0.566668 254.422136
38 0.568622 261.236857
39 0.570369 268.101087
40 0.572778 274.915243
41 0.575446 281.783849
42 0.577723 288.60986
43 0.580185 295.599988
44 0.58295 302.474741

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.433815 7.399747
2 0.549104 14.161802
3 0.573987 21.037132
4 0.61121 27.890306
5 0.656306 34.761667
6 0.69415 41.653312
7 0.718141 48.507905
8 0.741222 55.392927
9 0.75529 62.221254
10 0.77347 69.098025
11 0.779362 75.973048
12 0.781308 82.838428
13 0.801483 89.630229
14 0.789307 96.545994
15 0.820147 103.412688
16 0.823202 110.356499
17 0.830296 117.24367
18 0.812827 124.109371
19 0.838071 130.953097
20 0.843281 137.909455
21 0.849036 144.791442
22 0.853091 151.680529
23 0.843928 158.645515
24 0.837163 165.490067
25 0.856301 172.438734
26 0.856632 179.275744
27 0.861183 186.194391
28 0.864598 193.132592
29 0.849107 200.169325
30 0.868332 207.055377
31 0.872205 214.035778
32 0.878713 220.874369
33 0.879907 227.796064
34 0.877005 234.732686
35 0.876998 241.66869
36 0.878733 248.631283
37 0.882846 255.566932
38 0.867521 262.572907
39 0.874028 269.494172
40 0.887781 276.394926
41 0.889232 283.260962
42 0.887627 290.204114
43 0.890086 297.069967
44 0.887545 303.941539

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.63647 7.34867
2 0.719085 14.165569
3 0.789853 20.929283
4 0.794517 27.971003
5 0.711859 34.823281
6 0.881811 41.66907
7 0.860767 48.501196
8 0.855046 55.392961
9 0.790322 62.397583
10 0.816738 69.205599
11 0.666691 76.156986
12 0.680917 82.967674
13 0.635147 89.948771
14 0.649364 96.784722
15 0.726866 103.661157
16 0.704938 110.464826
17 0.640224 117.402955
18 0.742645 124.257384
19 0.614849 131.220443
20 0.737986 138.085072
21 0.627755 144.892983
22 0.507196 151.781687
23 0.756258 158.676945
24 0.788959 165.686643
25 0.630415 172.490765
26 0.659665 179.502894
27 0.736621 186.445986
28 0.575137 193.414011
29 0.566225 200.275803
30 0.556426 207.322933
31 0.777559 214.246533
32 0.680744 221.219609
33 0.660741 228.141883
34 0.665091 234.973837
35 0.631576 241.963923
36 0.679956 248.902412
37 0.633771 255.824885
38 0.706741 262.633345
39 0.6955 269.668067
40 0.689093 276.54357
41 0.665012 283.585556
42 0.697573 290.477574
43 0.673633 297.405057
44 0.673542 304.337911

LR is 1
Epoch & Fidelity & Runtime 
1 0.528156 6.943493
2 0.390532 13.727165
3 0.310705 20.624069
4 0.353687 27.496309
5 0.376059 34.45926
6 0.252318 41.244769
7 0.174509 48.158909
8 0.383571 55.079113
9 0.192921 61.880438
10 0.231464 68.748663
11 0.429214 75.575404
12 0.505055 82.446567
13 0.409577 89.261638
14 0.390094 96.197582
15 0.316328 102.993848
16 0.278502 109.849885
17 0.328723 116.800421
18 0.159073 123.571283
19 0.22686 130.471447
20 0.337154 137.321255
21 0.359551 144.218946
22 0.276312 151.033849
23 0.324622 157.977269
24 0.479213 164.896496
25 0.360917 171.790409
26 0.307626 178.736242
27 0.394063 185.75344
28 0.374328 192.618482
29 0.121138 199.524289
30 0.212091 206.46327
31 0.188165 213.27783
32 0.170552 220.253823
33 0.20783 227.146733
34 0.028921 234.179837
35 0.040705 240.990013
36 0.220437 247.942984
37 0.028753 254.783466
38 0.075159 261.761093
39 0.193589 268.762322
40 0.118578 275.751412
41 0.33626 282.607827
42 0.077327 289.578101
43 0.070527 296.418693
44 0.163481 303.35027

