Optimizer is SGDM

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.133624 7.245937
2 0.18663 14.639207
3 0.22483 22.002541
4 0.255667 29.356857
5 0.284156 36.740222
6 0.310181 44.074252
7 0.336825 51.499951
8 0.364065 58.789114
9 0.390577 66.176717
10 0.416043 73.616087
11 0.440662 80.986299
12 0.462151 88.252893
13 0.48084 95.724138
14 0.496236 103.093859
15 0.508743 110.529579
16 0.520323 117.828767
17 0.529452 125.152355
18 0.536205 132.489546
19 0.542213 139.882749
20 0.546875 147.168644
21 0.551241 154.520252
22 0.554498 161.904315
23 0.55907 169.367255
24 0.560611 176.711949
25 0.564825 184.082753
26 0.566958 191.372186
27 0.56954 198.853148
28 0.57153 206.263493
29 0.573507 213.699346
30 0.575483 221.125957
31 0.577752 228.590185
32 0.579753 235.945913
33 0.582049 243.408006
34 0.585476 250.715955
35 0.585712 258.069318
36 0.589116 265.419696
37 0.589029 272.721473
38 0.593332 279.988
39 0.59571 287.38871
40 0.598346 294.799059
41 0.60013 302.115249

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.410008 7.229138
2 0.523126 14.566074
3 0.57169 21.806693
4 0.612523 29.130929
5 0.658665 36.480033
6 0.695127 43.792073
7 0.71769 51.085148
8 0.739766 58.392068
9 0.757365 65.690078
10 0.760577 73.026735
11 0.769723 80.417954
12 0.768253 87.757013
13 0.790815 95.162632
14 0.79394 102.544113
15 0.78959 109.909211
16 0.80158 117.254304
17 0.802942 124.641355
18 0.806451 132.00449
19 0.819257 139.286511
20 0.797961 146.652721
21 0.816081 153.928963
22 0.813619 161.389032
23 0.800273 168.802346
24 0.824789 176.287605
25 0.81861 183.575692
26 0.810909 190.956207
27 0.808226 198.418368
28 0.823633 205.901477
29 0.814298 213.311984
30 0.81644 220.738619
31 0.803021 228.202288
32 0.794708 235.675612
33 0.788734 243.097557
34 0.797988 250.446602
35 0.820817 257.795718
36 0.797162 265.300621
37 0.802272 272.718161
38 0.794616 282.105454
39 0.813789 289.430068
40 0.796409 296.838665
41 0.767446 304.11705

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.695092 7.843982
2 0.796744 15.108897
3 0.716748 22.415461
4 0.799096 29.757484
5 0.819432 37.093301
6 0.77422 44.486331
7 0.802827 51.963095
8 0.631835 59.319159
9 0.754612 66.695151
10 0.676097 74.147851
11 0.740004 81.584713
12 0.499403 88.945205
13 0.707101 96.311426
14 0.760311 103.647526
15 0.762932 111.017914
16 0.761403 118.396327
17 0.472919 125.83644
18 0.564019 133.189457
19 0.601898 140.423386
20 0.65869 147.724194
21 0.6489 155.107946
22 0.628165 162.542684
23 0.594212 169.959155
24 0.585632 177.292624
25 0.547096 184.685626
26 0.589839 191.915109
27 0.646909 199.293271
28 0.643429 206.677286
29 0.603062 214.040467
30 0.655793 221.426351
31 0.685269 228.841331
32 0.672095 236.072177
33 0.67383 243.381207
34 0.648707 250.65847
35 0.626139 258.02352
36 0.532923 265.409967
37 0.603498 272.854443
38 0.640534 280.303093
39 0.600058 287.89081
40 0.554237 295.214183
41 0.66082 302.488997

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.37064 7.365037
2 0.626069 14.630489
3 0.305682 21.857861
4 0.302761 29.323746
5 0.156367 36.620729
6 0.342324 43.94028
7 0.27892 51.250685
8 0.380814 58.634213
9 0.215334 65.896778
10 0.294308 73.244033
11 0.274544 80.561158
12 0.250122 88.038596
13 0.185913 95.310645
14 0.279284 102.626281
15 0.113429 109.936641
16 0.15967 117.173481
17 0.363068 124.523624
18 0.299126 131.855876
19 0.402481 139.170761
20 0.281288 146.548643
21 0.033693 153.924643
22 0.096996 161.250722
23 0.170122 168.582842
24 0.132103 175.902408
25 0.156114 183.235773
26 0.213009 190.611489
27 0.231596 198.068362
28 0.161101 205.322965
29 0.165045 212.690571
30 0.088262 220.108524
31 0.150166 227.48948
32 0.093728 234.88925
33 0.248868 242.328776
34 0.17808 249.737092
35 0.181604 257.134902
36 0.153154 264.536064
37 0.13836 271.887148
38 0.168003 279.256171
39 0.198762 286.716579
40 0.127218 293.984341
41 0.14869 301.334698

LR is 1
Epoch & Fidelity & Runtime 
1 0.059532 7.268887
2 0.013597 14.543627
3 0.054371 21.800721
4 0.026226 29.277735
5 0.040974 36.557421
6 0.02775 43.872785
7 0.053313 51.219164
8 0.043954 58.579627
9 0.04583 65.849485
10 0.052263 73.200049
11 0.010864 80.546417
12 0.049496 88.018712
13 0.056743 95.375528
14 0.050018 102.754061
15 0.043591 110.032049
16 0.008452 117.36094
17 0.038463 124.689549
18 0.026811 132.006239
19 0.048522 139.328483
20 0.063976 146.705279
21 0.030496 154.138378
22 0.02883 161.514967
23 0.043699 168.909477
24 0.023403 176.387418
25 0.066952 183.773807
26 0.004643 191.234516
27 0.059232 198.668197
28 0.026905 206.032195
29 0.029512 213.332834
30 0.050633 220.852249
31 0.060525 228.275449
32 0.036039 235.716828
33 0.053062 243.112369
34 0.051425 250.592835
35 0.01321 258.0312
36 0.03145 265.581491
37 0.023615 273.084146
38 0.048661 280.596518
39 0.038173 288.010568
40 0.029337 295.382926
41 0.062725 302.724583

