Optimizer is SGD

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.092654 6.862897
2 0.096624 13.87242
3 0.100527 20.802647
4 0.105373 27.684442
5 0.11128 34.586482
6 0.118248 41.587978
7 0.125943 48.47242
8 0.13409 55.514204
9 0.142131 62.449939
10 0.149803 69.432645
11 0.156952 76.469851
12 0.163348 83.442318
13 0.169104 90.346658
14 0.174375 97.269336
15 0.179269 104.29361
16 0.183693 111.258706
17 0.188042 118.224504
18 0.192273 125.252504
19 0.19619 132.218477
20 0.200287 139.216903
21 0.204145 146.118225
22 0.207545 153.146715
23 0.211038 160.082538
24 0.214436 166.997249
25 0.217588 173.997038
26 0.220728 181.035876
27 0.223643 187.924479
28 0.226358 194.916761
29 0.229185 201.858159
30 0.23185 208.94318
31 0.234507 215.893608
32 0.237078 222.867101
33 0.239607 229.9084
34 0.242172 236.918108
35 0.244763 243.850967
36 0.247208 250.919933
37 0.249712 257.960723
38 0.252249 264.964228
39 0.254726 271.897329
40 0.257098 278.853709
41 0.259584 285.766681
42 0.262063 292.683749
43 0.264327 299.592906
44 0.266693 306.495768

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.139401 6.878384
2 0.195459 13.703673
3 0.23951 20.633037
4 0.278516 27.54802
5 0.313555 34.44515
6 0.344641 41.46556
7 0.373746 48.40952
8 0.398654 55.48975
9 0.422254 62.471609
10 0.443252 69.445048
11 0.463498 76.426007
12 0.48017 83.365237
13 0.492839 90.318475
14 0.50578 97.351748
15 0.51602 104.309317
16 0.523924 111.315249
17 0.532275 118.205317
18 0.538653 125.166464
19 0.544899 132.074486
20 0.549788 139.035435
21 0.554395 145.920397
22 0.559461 152.858274
23 0.560967 159.869563
24 0.567292 166.762172
25 0.572283 173.691866
26 0.577239 180.687353
27 0.581086 187.732362
28 0.583528 194.646986
29 0.588119 201.603282
30 0.591686 208.668995
31 0.596248 215.656682
32 0.599638 222.579793
33 0.603894 229.600058
34 0.607712 236.560759
35 0.611242 243.434491
36 0.613662 250.465487
37 0.61775 257.344294
38 0.621427 264.323458
39 0.624642 271.393376
40 0.627796 278.633683
41 0.631447 285.537085
42 0.63463 292.641912
43 0.637533 299.543689
44 0.640052 306.575939

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.427436 7.478691
2 0.546878 14.387884
3 0.579017 21.274672
4 0.620796 28.380169
5 0.650588 35.280244
6 0.67043 42.360506
7 0.700057 49.394082
8 0.725163 56.337987
9 0.746049 63.282958
10 0.760021 70.270896
11 0.770411 77.172751
12 0.775074 84.063103
13 0.78288 91.019683
14 0.776337 97.975828
15 0.797667 104.931893
16 0.793758 111.902405
17 0.792408 118.856316
18 0.812394 125.78446
19 0.792758 132.812711
20 0.803005 139.711229
21 0.826821 146.676784
22 0.820271 153.581488
23 0.816063 160.688755
24 0.825291 167.618558
25 0.827167 174.612954
26 0.824277 181.656413
27 0.833117 188.560897
28 0.833807 195.512794
29 0.833221 202.58515
30 0.833212 209.54568
31 0.82828 216.424298
32 0.823841 223.473127
33 0.8149 230.497181
34 0.833283 237.552087
35 0.840649 244.463718
36 0.846184 251.596749
37 0.850497 258.523599
38 0.847493 265.447673
39 0.849387 272.551502
40 0.83251 279.579204
41 0.841699 286.529039
42 0.853067 293.565387
43 0.855552 300.575441

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.565104 7.001599
2 0.786084 13.880277
3 0.786857 20.75107
4 0.819687 27.684476
5 0.784322 34.607463
6 0.650607 41.551061
7 0.81553 48.467408
8 0.770295 55.477392
9 0.782556 62.319141
10 0.768762 69.42173
11 0.781999 76.360413
12 0.781303 83.284444
13 0.799982 90.162218
14 0.790173 97.28577
15 0.828273 104.250148
16 0.835937 111.149182
17 0.744819 118.262275
18 0.745961 125.172059
19 0.822701 132.16691
20 0.847342 139.217293
21 0.780846 146.218637
22 0.765916 153.27036
23 0.815236 160.335923
24 0.66108 167.304336
25 0.80342 174.392782
26 0.817699 181.420036
27 0.77419 188.464172
28 0.826032 195.506301
29 0.778782 202.522464
30 0.794425 209.485984
31 0.786898 216.531895
32 0.788501 223.624004
33 0.810525 230.569577
34 0.772001 237.677607
35 0.798635 244.709165
36 0.764493 251.802442
37 0.777453 258.735103
38 0.76619 265.833823
39 0.561708 272.908248
40 0.624531 279.941359
41 0.715984 286.822672
42 0.654278 293.881362
43 0.685619 300.80028

LR is 1
Epoch & Fidelity & Runtime 
1 0.438917 7.035807
2 0.600127 13.974826
3 0.432711 20.990397
4 0.268266 27.876012
5 0.229702 34.939691
6 0.54157 41.893585
7 0.164173 48.925447
8 0.31619 55.917434
9 0.371079 62.87223
10 0.216084 69.838649
11 0.395112 76.803396
12 0.372429 83.78381
13 0.124129 90.700227
14 0.329714 97.870271
15 0.314128 104.787382
16 0.181678 111.745605
17 0.410706 118.630927
18 0.133172 125.632255
19 0.21699 132.519464
20 0.300577 139.457031
21 0.180942 146.442719
22 0.252948 153.373109
23 0.238094 160.479997
24 0.069724 167.42037
25 0.144693 174.511823
26 0.074476 181.477983
27 0.280237 188.596378
28 0.160685 195.634056
29 0.203891 202.687075
30 0.305912 209.620237
31 0.16882 216.659234
32 0.293447 223.735504
33 0.122104 230.775622
34 0.322728 237.737838
35 0.153973 244.847202
36 0.187439 251.90997
37 0.201549 258.925808
38 0.17521 266.153206
39 0.097396 273.062612
40 0.215195 280.102744
41 0.20203 287.023549
42 0.097954 294.036716
43 0.116383 301.107015

