Optimizer is Adam

LR is 1e-06
Epoch & Fidelity & Runtime 
1 0.086075 8.171472
2 0.086783 16.369596
3 0.087422 24.420339
4 0.087998 32.597624
5 0.088512 40.813819
6 0.08897 48.915334
7 0.089396 57.041136
8 0.089779 65.14485
9 0.090126 73.237993
10 0.090454 81.341729
11 0.090747 89.573392
12 0.091023 97.758982
13 0.091279 105.810349
14 0.091517 113.926054
15 0.091744 122.014383
16 0.091956 130.128116
17 0.092156 138.35831
18 0.092352 146.463467
19 0.092536 154.674424
20 0.092714 162.807156
21 0.092889 170.933297
22 0.093058 179.087409
23 0.093221 187.151763
24 0.093382 195.21834
25 0.093541 203.39553
26 0.093695 211.603522
27 0.093849 219.702066
28 0.094001 227.767993
29 0.094154 235.831273
30 0.094301 244.083032
31 0.094451 252.302218
32 0.094604 260.344912
33 0.094756 268.471917
34 0.094909 276.522411
35 0.095061 284.690234
36 0.095215 292.901437
37 0.095368 300.951859

LR is 1e-05
Epoch & Fidelity & Runtime 
1 0.091835 7.880183
2 0.095953 15.857276
3 0.098756 23.897465
4 0.101284 31.965686
5 0.103901 40.144233
6 0.106739 48.201706
7 0.109858 56.285112
8 0.113277 64.378273
9 0.116957 72.472864
10 0.120903 80.513541
11 0.125084 88.608585
12 0.129418 96.771335
13 0.133948 104.992194
14 0.138574 113.054597
15 0.143177 121.127667
16 0.147778 129.192466
17 0.152307 137.369076
18 0.156749 145.464338
19 0.161019 153.472663
20 0.165144 161.677562
21 0.169137 169.772769
22 0.17291 177.852337
23 0.176565 185.837878
24 0.180067 193.95578
25 0.183373 202.029286
26 0.18658 210.090206
27 0.18976 218.114587
28 0.192835 226.339312
29 0.195771 234.403889
30 0.198679 242.445123
31 0.201416 250.735367
32 0.204098 258.843896
33 0.206708 267.120093
34 0.209255 275.282105
35 0.211753 283.410811
36 0.214279 291.431989
37 0.216733 299.526547
38 0.21909 307.573978

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.115317 8.553491
2 0.160683 16.626067
3 0.19689 24.748862
4 0.224164 32.913756
5 0.248229 41.092663
6 0.271933 49.170159
7 0.29407 57.225523
8 0.316064 65.32282
9 0.335316 73.501216
10 0.355299 81.621009
11 0.37323 89.690601
12 0.391695 97.782048
13 0.41005 105.981687
14 0.42923 114.079375
15 0.448718 122.190427
16 0.466407 130.365739
17 0.483152 138.505559
18 0.496942 146.525944
19 0.511653 154.603427
20 0.5223 162.716482
21 0.533046 170.764195
22 0.541132 178.858543
23 0.549819 187.129634
24 0.556435 195.232273
25 0.563446 203.28826
26 0.568431 211.533764
27 0.57113 219.668758
28 0.577384 227.834912
29 0.583028 236.105724
30 0.587901 244.438402
31 0.592025 252.641101
32 0.596109 260.761806
33 0.600151 268.885046
34 0.60539 276.976772
35 0.610057 285.229905
36 0.61474 293.350538
37 0.618732 301.632941

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.399807 8.629061
2 0.533401 16.68819
3 0.57634 24.855678
4 0.613408 32.997842
5 0.668409 41.11593
6 0.71327 49.270417
7 0.735629 57.415519
8 0.717264 65.48821
9 0.716827 73.630067
10 0.755104 81.712088
11 0.740532 89.916924
12 0.668521 98.062676
13 0.590504 106.227602
14 0.568846 114.471365
15 0.590194 122.74249
16 0.421854 130.965014
17 0.434537 139.168796
18 0.343057 147.312385
19 0.326555 155.407785
20 0.268317 163.55259
21 0.223918 171.65718
22 0.217183 179.822702
23 0.174845 187.960472
24 0.128926 196.117854
25 0.132434 204.616199
26 0.113505 213.271681
27 0.112173 221.454533
28 0.116547 229.929484
29 0.113965 238.246689
30 0.070949 246.512861
31 0.08348 254.878876
32 0.067003 263.173726
33 0.059866 271.588625
34 0.066051 279.841763
35 0.068003 289.849109
36 0.048089 298.197018
37 0.040961 306.596311

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.729999 8.919552
2 0.531663 17.000657
3 0.287818 25.140659
4 0.10116 33.411486
5 0.015155 41.537331
6 0.027474 49.675302
7 0.000622 57.827381
8 0.001496 65.970792
9 0.000849 74.092288
10 0.002009 82.448085
11 0.000464 90.602683
12 5.4e-05 98.839869
13 6.8e-05 107.113182
14 0.000258 115.221773
15 0.0004 123.376803
16 0.000113 131.428785
17 6.5e-05 139.606417
18 6.2e-05 147.675478
19 8e-05 155.791897
20 3.3e-05 163.970002
21 2.1e-05 172.135183
22 7e-06 180.20562
23 2.4e-05 188.487367
24 1e-05 196.705804
25 1.6e-05 204.875932
26 3.6e-05 213.267297
27 2.6e-05 221.561911
28 1.3e-05 229.922397
29 6e-06 238.182759
30 7e-06 246.646529
31 5e-06 254.888771
32 6e-06 263.041102
33 4e-06 271.269318
34 9e-06 279.542193
35 8e-06 287.866918
36 8e-06 296.067752
37 4e-06 304.379694

