Optimizer is Adam

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.114077 7.887254
2 0.161854 15.795476
3 0.201153 23.726814
4 0.229127 31.528705
5 0.25538 39.323824
6 0.280739 47.276117
7 0.308091 55.120202
8 0.335227 63.048608
9 0.360297 70.879604
10 0.382202 78.66956
11 0.400762 86.54489
12 0.417443 94.311054
13 0.433471 102.193955
14 0.448101 110.086637
15 0.464302 117.868766
16 0.476564 125.793401
17 0.490186 133.642484
18 0.502684 141.492133
19 0.515542 149.306669
20 0.524178 157.062019
21 0.532413 165.001828
22 0.540957 172.805878
23 0.547524 180.629378
24 0.552244 188.592438
25 0.556786 196.518205
26 0.5609 204.336877
27 0.565024 212.305499
28 0.566959 220.096387
29 0.574115 227.917867
30 0.577528 235.726269
31 0.581394 243.600821
32 0.581304 251.447099
33 0.585587 259.419379
34 0.588603 267.320988
35 0.589704 275.187745
36 0.592715 283.188939
37 0.597732 291.031764
38 0.597398 298.881992
39 0.603386 306.747333

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.331139 7.718895
2 0.52111 15.593724
3 0.591212 23.352707
4 0.645174 31.179189
5 0.700736 38.952434
6 0.722469 46.702397
7 0.74373 54.68789
8 0.722936 62.568695
9 0.752932 70.438695
10 0.699899 78.203029
11 0.542495 86.094326
12 0.42319 93.950765
13 0.350103 101.84511
14 0.282577 109.662407
15 0.198213 117.495418
16 0.140781 125.358129
17 0.128555 133.210591
18 0.123907 141.154356
19 0.105307 148.963571
20 0.069135 156.891894
21 0.064256 164.746003
22 0.059091 172.681401
23 0.045215 180.541776
24 0.033753 188.491573
25 0.036085 196.37662
26 0.038464 204.248128
27 0.038434 212.063973
28 0.041917 219.969699
29 0.038661 227.756108
30 0.037641 235.689791
31 0.035499 243.438265
32 0.032948 251.318903
33 0.047466 259.313468
34 0.05565 267.138149
35 0.058834 275.078552
36 0.063273 282.956786
37 0.08318 290.794446
38 0.079472 298.720451
39 0.099347 306.574932

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.523938 8.395493
2 0.522845 16.214267
3 0.106251 24.037802
4 0.052854 31.8652
5 0.003756 39.792833
6 0.004805 47.619903
7 0.000997 55.555481
8 0.000696 63.359602
9 0.000265 71.273404
10 9.3e-05 79.121538
11 7.7e-05 86.998102
12 2.1e-05 94.933101
13 4e-06 102.811902
14 3.4e-05 110.818388
15 6.6e-05 118.685663
16 6e-06 126.590649
17 1.1e-05 134.600755
18 9e-06 142.43346
19 1.1e-05 150.313757
20 1.8e-05 158.288201
21 3e-06 166.169971
22 1e-05 173.986848
23 4.7e-05 181.914414
24 8e-06 189.863576
25 1.3e-05 197.745579
26 1e-06 205.676324
27 1.6e-05 213.51814
28 1.3e-05 221.539638
29 2e-06 229.421044
30 9e-06 237.371231
31 3e-06 245.216103
32 1.9e-05 253.05221
33 5e-06 261.051035
34 9e-06 269.018213
35 9e-06 276.984286
36 1e-06 284.915353
37 2e-06 292.763376
38 1e-06 300.706747

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.201197 7.880625
2 0.183073 15.636633
3 0.075515 23.684835
4 0.010538 31.544479
5 0.018857 39.426415
6 0.020973 47.228027
7 0.003895 55.163092
8 0.033021 63.038359
9 0.132593 70.998501
10 0.048502 78.974588
11 0.055205 86.900194
12 0.015443 94.699676
13 0.004931 102.602074
14 0.003858 110.469295
15 0.062645 118.370073
16 0.005997 126.271799
17 0.002034 134.207117
18 0.006248 142.057963
19 0.01317 149.885169
20 0.00431 157.763822
21 0.021398 165.747276
22 0.189787 173.754045
23 0.066126 181.640668
24 0.148696 189.562325
25 0.019382 197.51485
26 0.172769 205.477939
27 0.063513 213.334175
28 0.169891 221.369617
29 0.024567 229.232619
30 0.125336 237.285954
31 0.033526 245.248606
32 0.176387 253.276342
33 0.079397 261.208093
34 0.115207 269.150777
35 0.026639 277.184783
36 0.078299 285.06213
37 0.034355 292.956549
38 0.078345 300.833705

LR is 1
Epoch & Fidelity & Runtime 
1 0.066662 8.439744
2 0.055358 16.225604
3 0.051074 24.17753
4 0.073564 32.072227
5 0.062727 39.966099
6 0.080587 47.799915
7 0.070106 55.734383
8 0.067283 63.529985
9 0.068763 71.570689
10 0.076573 79.703102
11 0.076985 87.60747
12 0.072524 95.654268
13 0.067864 103.442925
14 0.079321 111.337326
15 0.079794 119.146525
16 0.068541 127.016736
17 0.059579 134.943903
18 0.064676 142.874094
19 0.072347 150.721526
20 0.079829 158.643341
21 0.051354 166.607018
22 0.073177 174.498661
23 0.084709 182.322495
24 0.072291 190.362075
25 0.067798 198.291659
26 0.065763 206.205433
27 0.072704 214.115211
28 0.081541 222.070099
29 0.058486 230.039604
30 0.075946 238.029909
31 0.048507 245.894605
32 0.072144 253.947904
33 0.067246 261.897213
34 0.061115 269.86305
35 0.075742 277.817795
36 0.070022 285.822182
37 0.071158 293.722382
38 0.0628 301.67911

